claim,statement,config,fraction,model,holds,evidence,auc_mean,model_flag
C2,occlusion-LIME is the lowest pair.,f33_gbm,0.33,gradient_boosting,yes,"means shap__occlusion 0.358, shap__lime 0.405, occlusion__lime 0.140; occlusion__lime hi 0.184 vs 0.313",0.6849291770670768,ok
C2,occlusion-LIME is the lowest pair.,f33_lr,0.33,logistic_regression,yes,"means shap__occlusion 0.557, shap__lime 0.641, occlusion__lime 0.392; occlusion__lime hi 0.432 vs 0.513",0.7263742425240232,ok
C2,occlusion-LIME is the lowest pair.,f33_rf,0.33,random_forest,yes,"means shap__occlusion 0.372, shap__lime 0.461, occlusion__lime 0.133; occlusion__lime hi 0.179 vs 0.335",0.6912024985486449,ok
C2,occlusion-LIME is the lowest pair.,f50_gbm,0.5,gradient_boosting,yes,"means shap__occlusion 0.362, shap__lime 0.452, occlusion__lime 0.160; occlusion__lime hi 0.198 vs 0.315",0.7308551315259849,ok
C2,occlusion-LIME is the lowest pair.,f50_lr,0.5,logistic_regression,yes,"means shap__occlusion 0.548, shap__lime 0.653, occlusion__lime 0.379; occlusion__lime hi 0.425 vs 0.507",0.7696685094041745,ok
C2,occlusion-LIME is the lowest pair.,f50_rf,0.5,random_forest,yes,"means shap__occlusion 0.379, shap__lime 0.505, occlusion__lime 0.170; occlusion__lime hi 0.198 vs 0.340",0.7439881887505793,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f25_gbm,0.25,gradient_boosting,yes,tau_b 0.357 - strict 0.345 = +0.011,0.666774627407989,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f25_lr,0.25,logistic_regression,yes,tau_b 0.524 - strict 0.511 = +0.013,0.7136579179552314,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f25_rf,0.25,random_forest,yes,tau_b 0.367 - strict 0.359 = +0.008,0.682705631464619,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f33_gbm,0.33,gradient_boosting,yes,tau_b 0.358 - strict 0.348 = +0.010,0.6849291770670768,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f33_lr,0.33,logistic_regression,yes,tau_b 0.557 - strict 0.545 = +0.012,0.7263742425240232,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f33_rf,0.33,random_forest,yes,tau_b 0.372 - strict 0.364 = +0.008,0.6912024985486449,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f50_gbm,0.5,gradient_boosting,yes,tau_b 0.362 - strict 0.346 = +0.015,0.7308551315259849,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f50_lr,0.5,logistic_regression,yes,tau_b 0.548 - strict 0.542 = +0.006,0.7696685094041745,ok
C3,occlusion ties do not drive SHAP-occlusion agreement.,f50_rf,0.5,random_forest,yes,tau_b 0.379 - strict 0.369 = +0.010,0.7439881887505793,ok
C4,output space explains little of the SHAP-occlusion gap.,f25_gbm,0.25,gradient_boosting,yes,prob 0.371 - raw 0.357 = +0.015,0.666774627407989,ok
C4,output space explains little of the SHAP-occlusion gap.,f25_lr,0.25,logistic_regression,yes,prob 0.542 - raw 0.524 = +0.018,0.7136579179552314,ok
C4,output space explains little of the SHAP-occlusion gap.,f25_rf,0.25,random_forest,not_evaluable,shap is already in probability space,0.682705631464619,ok
C4,output space explains little of the SHAP-occlusion gap.,f33_gbm,0.33,gradient_boosting,yes,prob 0.361 - raw 0.358 = +0.003,0.6849291770670768,ok
C4,output space explains little of the SHAP-occlusion gap.,f33_lr,0.33,logistic_regression,yes,prob 0.574 - raw 0.557 = +0.017,0.7263742425240232,ok
C4,output space explains little of the SHAP-occlusion gap.,f33_rf,0.33,random_forest,not_evaluable,shap is already in probability space,0.6912024985486449,ok
C4,output space explains little of the SHAP-occlusion gap.,f50_gbm,0.5,gradient_boosting,yes,prob 0.350 - raw 0.362 = -0.012,0.7308551315259849,ok
C4,output space explains little of the SHAP-occlusion gap.,f50_lr,0.5,logistic_regression,yes,prob 0.556 - raw 0.548 = +0.008,0.7696685094041745,ok
C4,output space explains little of the SHAP-occlusion gap.,f50_rf,0.5,random_forest,not_evaluable,shap is already in probability space,0.7439881887505793,ok
C5,the gate signal is informative within institutions.,f25_gbm,0.25,gradient_boosting,yes,occlusion/KU Leuven lo 0.206; occlusion/OULAD lo 0.370; occlusion/Oviedo lo 0.185; occlusion/UKZN lo 0.197; lime/KU Leuven lo 0.168; lime/OULAD lo 0.256; lime/Oviedo lo 0.027; lime/UKZN lo 0.103,0.666774627407989,ok
C5,the gate signal is informative within institutions.,f25_lr,0.25,logistic_regression,yes,occlusion/KU Leuven lo 0.735; occlusion/OULAD lo 0.507; occlusion/Oviedo lo 0.692; occlusion/UKZN lo 0.654; lime/KU Leuven lo 0.312; lime/OULAD lo 0.532; lime/Oviedo lo 0.293; lime/UKZN lo 0.424,0.7136579179552314,ok
C5,the gate signal is informative within institutions.,f25_rf,0.25,random_forest,yes,occlusion/KU Leuven lo 0.348; occlusion/OULAD lo 0.481; occlusion/Oviedo lo 0.155; occlusion/UKZN lo 0.328; lime/KU Leuven lo 0.301; lime/OULAD lo 0.420; lime/Oviedo lo 0.026; lime/UKZN lo 0.261,0.682705631464619,ok
C5,the gate signal is informative within institutions.,f33_gbm,0.33,gradient_boosting,yes,occlusion/KU Leuven lo 0.309; occlusion/OULAD lo 0.331; occlusion/Oviedo lo 0.333; occlusion/UKZN lo 0.314; lime/KU Leuven lo 0.032; lime/OULAD lo 0.269; lime/Oviedo lo 0.155; lime/UKZN lo 0.131,0.6849291770670768,ok
C5,the gate signal is informative within institutions.,f33_lr,0.33,logistic_regression,yes,occlusion/KU Leuven lo 0.757; occlusion/OULAD lo 0.525; occlusion/Oviedo lo 0.588; occlusion/UKZN lo 0.624; lime/KU Leuven lo 0.395; lime/OULAD lo 0.502; lime/Oviedo lo 0.337; lime/UKZN lo 0.284,0.7263742425240232,ok
C5,the gate signal is informative within institutions.,f33_rf,0.33,random_forest,yes,occlusion/KU Leuven lo 0.317; occlusion/OULAD lo 0.502; occlusion/Oviedo lo 0.175; occlusion/UKZN lo 0.282; lime/KU Leuven lo 0.202; lime/OULAD lo 0.490; lime/Oviedo lo 0.122; lime/UKZN lo 0.256,0.6912024985486449,ok
C5,the gate signal is informative within institutions.,f50_gbm,0.5,gradient_boosting,yes,occlusion/KU Leuven lo 0.193; occlusion/OULAD lo 0.247; occlusion/Oviedo lo 0.247; occlusion/UKZN lo 0.311; lime/KU Leuven lo 0.024; lime/OULAD lo 0.254; lime/Oviedo lo 0.203; lime/UKZN lo 0.100,0.7308551315259849,ok
C5,the gate signal is informative within institutions.,f50_lr,0.5,logistic_regression,yes,occlusion/KU Leuven lo 0.806; occlusion/OULAD lo 0.437; occlusion/Oviedo lo 0.633; occlusion/UKZN lo 0.685; lime/KU Leuven lo 0.194; lime/OULAD lo 0.458; lime/Oviedo lo 0.329; lime/UKZN lo 0.235,0.7696685094041745,ok
C5,the gate signal is informative within institutions.,f50_rf,0.5,random_forest,yes,occlusion/KU Leuven lo 0.438; occlusion/OULAD lo 0.466; occlusion/Oviedo lo 0.347; occlusion/UKZN lo 0.363; lime/KU Leuven lo 0.346; lime/OULAD lo 0.417; lime/Oviedo lo 0.309; lime/UKZN lo 0.257,0.7439881887505793,ok
C6,cohort calibration adds nothing over one global threshold.,f25_gbm,0.25,gradient_boosting,yes,"occlusion c* 0.536, ci_low -0.012; lime c* 0.534, ci_low -0.029",0.666774627407989,ok
C6,cohort calibration adds nothing over one global threshold.,f25_lr,0.25,logistic_regression,yes,"occlusion c* 0.647, ci_low -0.021; lime c* 0.644, ci_low -0.028",0.7136579179552314,ok
C6,cohort calibration adds nothing over one global threshold.,f25_rf,0.25,random_forest,yes,"occlusion c* 0.529, ci_low -0.008; lime c* 0.527, ci_low -0.039",0.682705631464619,ok
C6,cohort calibration adds nothing over one global threshold.,f33_gbm,0.33,gradient_boosting,yes,"occlusion c* 0.557, ci_low -0.010; lime c* 0.555, ci_low -0.037",0.6849291770670768,ok
C6,cohort calibration adds nothing over one global threshold.,f33_lr,0.33,logistic_regression,yes,"occlusion c* 0.619, ci_low -0.017; lime c* 0.617, ci_low -0.018",0.7263742425240232,ok
C6,cohort calibration adds nothing over one global threshold.,f33_rf,0.33,random_forest,yes,"occlusion c* 0.587, ci_low -0.010; lime c* 0.586, ci_low -0.035",0.6912024985486449,ok
C6,cohort calibration adds nothing over one global threshold.,f50_gbm,0.5,gradient_boosting,no,"occlusion c* 0.590, ci_low +0.009; lime c* 0.590, ci_low -0.038",0.7308551315259849,ok
C6,cohort calibration adds nothing over one global threshold.,f50_lr,0.5,logistic_regression,no,"occlusion c* 0.648, ci_low +0.005; lime c* 0.648, ci_low -0.041",0.7696685094041745,ok
C6,cohort calibration adds nothing over one global threshold.,f50_rf,0.5,random_forest,no,"occlusion c* 0.622, ci_low +0.006; lime c* 0.621, ci_low -0.054",0.7439881887505793,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f25_gbm,0.25,gradient_boosting,yes,shap__lime 0.103 vs 0.5 x shap__occlusion 0.336,0.666774627407989,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f25_lr,0.25,logistic_regression,no,shap__lime 0.172 vs 0.5 x shap__occlusion 0.165,0.7136579179552314,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f25_rf,0.25,random_forest,no,shap__lime 0.182 vs 0.5 x shap__occlusion 0.330,0.682705631464619,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f33_gbm,0.33,gradient_boosting,yes,shap__lime 0.064 vs 0.5 x shap__occlusion 0.345,0.6849291770670768,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f33_lr,0.33,logistic_regression,no,shap__lime 0.136 vs 0.5 x shap__occlusion 0.143,0.7263742425240232,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f33_rf,0.33,random_forest,no,shap__lime 0.234 vs 0.5 x shap__occlusion 0.317,0.6912024985486449,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f50_gbm,0.5,gradient_boosting,no,shap__lime 0.169 vs 0.5 x shap__occlusion 0.329,0.7308551315259849,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f50_lr,0.5,logistic_regression,no,shap__lime 0.302 vs 0.5 x shap__occlusion 0.131,0.7696685094041745,ok
C7,the SHAP-occlusion institution spread is not replicated by SHAP-LIME.,f50_rf,0.5,random_forest,no,shap__lime 0.258 vs 0.5 x shap__occlusion 0.278,0.7439881887505793,ok
